Name,Description,Location_Type,Street / Location,City / Town,Parish / State,Community,Region / District,Country,_Location_latitude,_Location_longitude,_Location_altitude,_Location_precision,Images,Type of Accomodations,Number of Rooms,Type of Attraction,Describe the types of activities offerred,Natural Attraction?,Type of Event,Event Start (date & time),Event End (date & time),Type of transportation,Number of Vehicles,Type of Service,Describe the types of activities offerred with this service,"Next, capture the main picture for the location; For additional pictures click ""Add Group"" on the subsequent screens",Number of Rooms
Yellow mellow,"A local restaurant with an nternational menu , also carter's for your vegetarian needs",Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Frenchman district ,Jamaica,17.8832429,-77.76459,12.100000381469727,5.0,1557616735230.jpg,,,,,,,,,,,Food,A place to comfort all your cravings ,,
Lobster pot,A small sea food restaurant located on the sea side with exquisite taste,Services,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8642905,-77.738771,-19.399999618530273,5.0,1557503012241.jpg,,,,,,,,,,,Food,,,
Swaby's plaza,A plaza that's caters for your Food craving as well as a gift shop for your painting your jewelry slippers sunsreen and clothing needs and much more,,,Treasure beach ,St.Elizabeth ,Treasure ,Frenchman district ,Jamaica,17.8836867,-77.7649643,8.300000190734863,4.5,1557617060051.jpg,,,,,,,,,,,,,,
The salvation army great bay corps,A beautiful church and school,Services,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8699216,-77.7409149,-19.299999237060547,4.0,1557508857597.jpg,,,,,,,,,,,other,A school for learning and a church for praise and worship.,,
Coquina,Beautiful Garden and sea views,Accomodation,Great Bay road,,St. Elizabeth,Treasure Beach,Great Bay,Jamaica,17.8671135,-77.740104,-6.400000095367432,5.0,1557617878737.jpg,Villa,3,,,,,,,,,,,,
Blue Marlin Beach House,Tranquility at its best,Accomodation,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8664967,-77.7399839,-11.199999809265137,5.0,1557618552068.jpg,Villa,4,,,,,,,,,,,,
Great bay Inn,A lovely guest house located near the sea.,Accomodation,,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8643393,-77.7380406,-12.600000381469727,4.5,1557619150431.jpg,Guest House,,,,,,,,,,,,,
Great bay grace and truth assembly hall,A vibes filled environment,Services,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8660774,-77.7389283,-7.199999809265137,5.0,1557506029071.jpg,,,,,,,,,,,other,Praise and worship,,
Great bay cultural center,A beautiful look out of the sea,Attraction,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8643058,-77.7387508,-19.600000381469727,5.0,1557504857234.jpg,,,RECREATION,,,,,,,,,,,
Out of the Blue,A beautiful guest house on the sea front.,Accomodation,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8659839,-77.7390539,-14.5,5.0,1557620144832.jpg,Guest House,,,,,,,,,,,,,
Bliss by the sea,"BLISS BY THE SEA is a unique Treasure Beach, Jamaican beachfront property, that sits just yards from the Caribbean Sea. It is a lovely, secluded property in an untouched location. ",Accomodation,Great bay road,,St. Elizabeth,Treasure beach,Great bay,Jamaica,17.8679556,-77.7418831,-24.399999618530273,5.0,1557620933993.jpg,Villa,3,,,,,,,,,,,,
Eggy's,"A restaurant and bar on the beach designed for complete satisfaction,  best place to watch the sunset go down over a nice conversation or a nice seafood  meal",Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Frenchman district ,,17.8826093,-77.7652334,-16.700000762939453,5.0,1557620712121.jpg,,,,,,,,,,,Food,"A seafood restaurant with flashy attitude,  perfect for sunset dinners or afternoon lunch or maybe just a beer for breakfast on your vacation ",,
90� south Boutique ,,Services,,Treasure beach,St.Elizabeth,Treasure beach,Frenchman district,Jamaica,17.8798185,-77.7618439,-22.700000762939453,5.0,1557354774190.jpg,,,,,,,,,,,Shopping,A boutique / gift shop,,
Cacuna,,Accomodation,,Treasure beach,St.Elizabeth,Treasure beach,Old wharf district,,17.8750765,-77.7569309,-9.300000190734863,5.0,1557577009789.jpg,Villa,,,,,,,,,,,,,
Bryan villa,A relaxation across from the ocean,Accomodation,,Treasure beach,St.Elizabeth,Jamaica,Frenchman district,Jamaica,17.8798314,-77.7635559,-6.699999809265137,4.5,1557671735159.jpg,Villa,,,,,,,,,,,,,
Linda groceries & Dinners delite,"A mining mart with a wide variety of items to supply your kitchen and household need . The plaza also host the newly relocated diner's delite which has the best local menu in town, food so mouth watering ypu just can help yourself",Services,,Treasure beach,St.Elizabeth,Treasure beach,Frenchman district,Jamaica,17.8838162,-77.7652723,3.0999999046325684,5.0,1557618538680.jpg,,,,,,,,,,,other,,,
Linda groceries and diner's delite ,,Services,,Treasure beach ,St.Elizabeth ,Treasure beach ,Frenchman district ,Jamaica,17.8837159,-77.7651819,-9.899999618530273,5.0,1557618755633.jpg,,,,,,,,,,,other,,,
Folichon,,Accomodation,,Treasure beach,St.Elizabeth,Jamaica,Frenchman district,,17.8813308,-77.7637686,-11.899999618530273,4.0,1557589752864.jpg,Guest House,3,,,,,,,,,,,,
Calabash house,A place a make your vacation a reality,Accomodation,,Treasure beach,St.Elizabeth,Jamaica,Calabash Bay district,,17.8782234,-77.7601075,-12.899999618530273,5.0,1557356339130.jpg,Guest House,,,,,,,,,,,,,
Calabash gift shop,A hand made art store with a variety of Collection,,,Treasure beach,St.Elizabeth,Treasure beach,Frenchman district,Jamaica,17.8797962,-77.7620389,-9.100000381469727,4.5,1557354626829.jpg,,,,,,,,,,,,,,
Soctia Atm,Running out of cash soctia always available to help,Services,,Treasure beach,St.Elizabeth,Jamaica,Frenchman district,Jamaica,17.8802429,-77.7639671,6.300000190734863,5.5,1557064786139.jpg,,,,,,,,,,,Bank,"A fast and easy way to withdraw or deposit money for persons with a soctia card and for those with a soctia Atm card , your also able to withdraw. The atmosphere also accept international cards, but please note your pay out will be in Jamaican dollars",,
Jacksprats,A restaurant and bar on the beach perfect for a swim and the best local thin crust pizza,Services,Frenchman,,St.Elizabeth,Treasure beach,Frenchman,Jamaica,17.8801809,-77.7639317,-12.399999618530273,5.0,1557064539096.jpg,,,,,,,,,,,other,Jacksprats is famous for its delicious thin crusted pizza's and as there mouth watering jerk fish not to mention there coconut lobsters,,
Frenchman reef,Restaurant and bar on the beach,Services,,Treasure beach,St.Elizabeth,Jamaica,Frenchman district,Jamaica,17.8836232,-77.7651504,-21.100000381469727,4.5,1557065244757.jpg,,,,,,,,,,,Food,"Frenchman reef has a light airy atmosphere, where you can have order from there exquisite menu or maybe just a draught beer at the bar and watch the sunset over the gorgeous Caribbean sea. Feel like kayaking in the morning ? you can rent a kayak there and take it out for a paddle around the bays here in treasure beach. Also be sure to ask about the live music the have on selective nights.",,
